metriculation,Degree,Year,Class1,C1G1,C1G2,C1G3,C1EQ1,C1EQ2,C1EQ3,Class2,C2G1,C2G2,C2G3,C2EQ1,C2EQ2,C2EQ3
7727335,CH,4,COMPSCI4444,39,63,40,48,88,35,COMPSCI8888,28,88,98,29,100,10
8969097,ES,3,COMPSCI3333,21,73,68,47,87,89,COMPSCI6666,90,14,15,96,90,82
6574717,IN,1,COMPSCI1111,66,19,38,61,48,39,COMPSCI8888,75,72,27,84,96,99
1942115,ES,4,COMPSCI2222,15,29,36,71,59,75,COMPSCI8888,48,37,82,58,68,91
5669042,ES,3,COMPSCI4444,98,13,68,91,34,36,COMPSCI8888,92,20,44,63,53,29
4997331,SE,1,COMPSCI3333,93,37,74,64,37,2,COMPSCI8888,66,28,75,61,38,5
8358796,ES,1,COMPSCI4444,54,78,53,46,46,48,COMPSCI6666,22,99,26,81,1,63
9989090,IN,3,COMPSCI1111,5,53,3,14,57,84,COMPSCI8888,92,49,1,12,99,84
7353210,SE,4,COMPSCI3333,16,10,57,68,78,68,COMPSCI6666,18,88,85,10,33,55
3433810,IN,1,COMPSCI4444,68,46,17,33,72,65,COMPSCI8888,31,44,89,74,28,67
9627831,ES,3,COMPSCI3333,54,6,50,63,10,76,COMPSCI8888,50,96,58,98,50,73
6815935,ES,3,COMPSCI3333,66,59,93,77,71,33,COMPSCI8888,77,74,22,29,7,93
9864633,IN,3,COMPSCI3333,17,83,3,57,75,25,COMPSCI6666,94,46,77,9,96,30
6434109,CH,2,COMPSCI1111,32,63,63,43,88,38,COMPSCI6666,6,14,37,58,36,28
6941548,ES,3,COMPSCI4444,94,52,88,27,28,39,COMPSCI7777,32,67,16,77,37,20
7226171,CH,4,COMPSCI4444,25,97,64,57,8,40,COMPSCI8888,14,71,84,72,15,19
4402702,ES,4,COMPSCI4444,32,52,89,2,1,93,COMPSCI7777,80,57,25,78,66,55
8962132,IN,4,COMPSCI1111,56,13,55,31,39,64,COMPSCI8888,99,77,78,46,53,87
2061257,ES,2,COMPSCI2222,38,6,81,46,50,39,COMPSCI8888,28,89,13,60,22,44
9648199,ES,4,COMPSCI2222,23,96,60,7,79,92,COMPSCI8888,74,74,87,6,56,20
3979233,CS,3,COMPSCI4444,71,98,18,98,49,91,COMPSCI7777,72,62,65,79,41,61
7431558,IN,2,COMPSCI4444,86,21,72,21,46,70,COMPSCI8888,46,58,96,46,88,7
5455365,IN,1,COMPSCI3333,52,54,97,68,66,58,COMPSCI6666,31,51,78,46,1,27
3198733,IN,3,COMPSCI4444,8,32,68,50,10,79,COMPSCI8888,91,32,73,27,76,25
9078347,IN,3,COMPSCI4444,29,62,52,91,34,18,COMPSCI8888,70,41,45,79,46,20
3762729,ES,1,COMPSCI3333,9,51,35,67,99,91,COMPSCI6666,25,68,100,85,63,31
6098895,CS,1,COMPSCI2222,36,87,13,28,15,36,COMPSCI5555,18,24,61,51,23,70
8660942,ES,1,COMPSCI1111,36,97,97,97,54,61,COMPSCI7777,64,88,6,63,95,94
6549438,CH,1,COMPSCI2222,59,94,47,26,53,49,COMPSCI8888,16,86,17,37,34,62
7103967,CH,3,COMPSCI4444,67,37,29,77,16,62,COMPSCI5555,20,47,9,61,86,98
7723032,ES,1,COMPSCI1111,59,92,14,1,100,57,COMPSCI6666,42,16,60,39,12,24
5112539,IN,1,COMPSCI4444,89,99,27,77,14,61,COMPSCI7777,37,3,20,83,40,36
5881375,ES,3,COMPSCI1111,23,37,56,93,80,79,COMPSCI7777,6,80,18,100,40,40
3993050,ES,1,COMPSCI4444,5,55,3,9,12,50,COMPSCI6666,8,30,77,63,71,87
5773705,ES,3,COMPSCI1111,41,58,81,61,48,29,COMPSCI7777,54,75,92,52,41,97
6965069,SE,1,COMPSCI2222,35,92,2,48,38,11,COMPSCI8888,37,79,33,82,23,64
9265760,ES,2,COMPSCI4444,33,35,82,56,10,59,COMPSCI5555,53,67,45,9,80,43
6558275,CH,2,COMPSCI4444,81,77,88,8,36,32,COMPSCI5555,63,20,50,53,88,42
5359466,IN,4,COMPSCI4444,21,23,98,54,28,61,COMPSCI7777,59,86,58,24,42,81
7187324,ES,1,COMPSCI1111,12,52,3,80,88,6,COMPSCI7777,79,78,73,4,17,63
1521610,ES,3,COMPSCI1111,83,14,58,42,59,83,COMPSCI8888,63,42,14,16,33,4
6437264,CH,3,COMPSCI1111,88,40,90,89,1,2,COMPSCI7777,12,43,87,17,83,30
6563467,IN,3,COMPSCI4444,4,54,23,95,20,53,COMPSCI8888,94,33,91,40,76,28
6945890,IN,3,COMPSCI4444,97,75,77,17,55,91,COMPSCI8888,89,11,55,66,47,87
5439733,ES,1,COMPSCI2222,32,16,55,52,70,70,COMPSCI7777,68,2,3,43,48,47
9516789,ES,1,COMPSCI3333,89,40,100,16,25,67,COMPSCI6666,96,11,70,55,11,48
9509635,IN,1,COMPSCI3333,54,49,21,35,79,97,COMPSCI6666,24,40,89,100,96,79
2898770,IN,2,COMPSCI4444,13,31,22,58,10,100,COMPSCI7777,93,1,33,94,69,49
2427230,ES,3,COMPSCI4444,22,53,86,66,45,91,COMPSCI7777,26,82,99,77,27,7
7855178,CH,2,COMPSCI4444,7,46,84,79,81,96,COMPSCI8888,72,59,82,96,43,92
1688288,ES,4,COMPSCI3333,95,51,28,94,36,53,COMPSCI5555,59,32,78,65,41,37
1244051,ES,3,COMPSCI3333,34,19,61,82,45,45,COMPSCI5555,8,5,26,81,99,89
7393434,SE,2,COMPSCI4444,23,58,26,16,18,15,COMPSCI8888,73,14,27,5,33,65
9482027,ES,1,COMPSCI4444,58,44,99,87,19,95,COMPSCI8888,50,91,43,58,91,16
1542172,ES,1,COMPSCI3333,96,30,47,3,36,14,COMPSCI8888,33,88,95,99,39,17
4661798,ES,4,COMPSCI1111,86,42,43,75,79,75,COMPSCI8888,4,17,8,95,48,14
9680642,ES,2,COMPSCI3333,65,58,10,29,76,79,COMPSCI8888,91,89,73,56,14,81
9542386,CH,2,COMPSCI1111,11,77,12,56,4,68,COMPSCI8888,60,59,56,25,8,57
8834031,CH,2,COMPSCI2222,93,92,50,26,18,91,COMPSCI8888,48,27,11,11,45,71
4922283,ES,1,COMPSCI1111,10,67,37,97,44,42,COMPSCI7777,99,84,46,84,38,60
8494972,IN,1,COMPSCI3333,25,50,98,62,92,30,COMPSCI8888,21,44,95,99,40,89
5831723,IN,4,COMPSCI4444,38,39,84,4,87,96,COMPSCI8888,70,97,1,62,67,33
6253160,ES,1,COMPSCI1111,33,84,23,53,20,6,COMPSCI8888,60,44,6,18,29,38
4748450,ES,1,COMPSCI3333,38,34,98,81,68,6,COMPSCI5555,41,38,14,18,37,3
5697957,ES,1,COMPSCI3333,72,68,89,72,61,46,COMPSCI8888,76,93,23,47,68,82
9320666,IN,3,COMPSCI4444,14,95,57,29,97,31,COMPSCI8888,40,39,78,64,97,73
3203026,ES,1,COMPSCI4444,72,60,36,73,6,14,COMPSCI8888,55,14,72,18,53,84
7965998,ES,4,COMPSCI4444,35,55,53,100,30,6,COMPSCI8888,69,48,80,77,26,85
3137318,IN,4,COMPSCI3333,94,46,98,78,26,47,COMPSCI6666,57,56,90,42,22,31
4803481,SE,2,COMPSCI2222,88,40,49,32,97,21,COMPSCI7777,37,67,44,49,36,66
7175539,CS,1,COMPSCI4444,36,51,37,56,31,11,COMPSCI8888,32,10,9,80,21,96
7588552,ES,3,COMPSCI1111,90,93,4,19,61,73,COMPSCI7777,2,2,46,83,90,80
9722925,ES,1,COMPSCI4444,45,1,51,40,77,53,COMPSCI8888,42,91,38,83,5,63
9985614,IN,3,COMPSCI1111,44,85,44,64,60,91,COMPSCI8888,69,99,52,14,96,51
4569261,ES,3,COMPSCI4444,62,58,76,82,63,48,COMPSCI8888,8,87,44,75,47,9
5992133,IN,1,COMPSCI3333,70,23,68,55,74,16,COMPSCI7777,71,95,99,55,21,24
8316199,ES,3,COMPSCI4444,17,25,77,20,1,1,COMPSCI8888,73,34,58,69,39,86
3626585,IN,1,COMPSCI4444,11,52,77,90,13,21,COMPSCI7777,35,48,77,4,74,25
2515029,IN,4,COMPSCI4444,23,8,38,28,18,9,COMPSCI8888,21,58,4,15,43,79
7264236,SE,1,COMPSCI4444,42,34,98,22,32,48,COMPSCI8888,56,91,96,21,61,3
6297220,IN,2,COMPSCI4444,38,11,66,67,45,2,COMPSCI8888,29,62,67,100,52,90
8994416,ES,1,COMPSCI4444,35,96,69,39,4,19,COMPSCI8888,40,97,13,1,57,66
8381300,IN,3,COMPSCI4444,20,18,51,19,43,71,COMPSCI6666,5,78,37,56,51,24
5048347,CH,2,COMPSCI4444,64,76,30,45,99,61,COMPSCI7777,2,8,94,41,38,52
5634492,ES,3,COMPSCI4444,68,21,12,90,68,8,COMPSCI7777,29,4,61,76,63,76
2419912,CH,4,COMPSCI4444,65,25,48,3,15,38,COMPSCI8888,7,36,63,21,28,75
1751159,ES,4,COMPSCI2222,59,44,7,90,58,50,COMPSCI5555,44,86,24,16,98,76
7937293,IN,2,COMPSCI1111,80,61,5,35,3,26,COMPSCI8888,87,31,95,38,26,88
6845941,ES,3,COMPSCI3333,88,100,6,58,4,56,COMPSCI8888,93,2,82,42,74,26
8165174,ES,3,COMPSCI4444,38,36,51,25,11,73,COMPSCI7777,75,79,42,54,80,57
9128753,CS,1,COMPSCI2222,39,69,57,1,11,46,COMPSCI6666,84,92,46,73,36,8
7428608,ES,4,COMPSCI4444,28,71,6,30,11,15,COMPSCI6666,93,5,95,93,65,39
3984229,ES,3,COMPSCI2222,34,10,97,84,6,73,COMPSCI6666,39,94,66,34,32,54
4984636,IN,3,COMPSCI4444,40,28,3,95,54,67,COMPSCI7777,90,97,86,50,88,72
1469038,IN,2,COMPSCI4444,10,77,55,78,47,98,COMPSCI7777,15,44,24,4,79,19
9660044,ES,3,COMPSCI3333,73,60,27,77,67,51,COMPSCI8888,44,18,99,8,60,15
6783102,ES,2,COMPSCI4444,13,86,49,44,11,22,COMPSCI8888,44,75,29,75,100,57
1098014,IN,3,COMPSCI3333,12,64,31,4,7,54,COMPSCI7777,95,12,41,43,67,10
3819687,ES,3,COMPSCI2222,16,84,86,17,98,73,COMPSCI8888,86,45,100,40,53,16
8152369,CS,4,COMPSCI4444,24,29,16,97,21,87,COMPSCI8888,66,40,54,21,44,58
7415756,CS,3,COMPSCI4444,73,83,89,66,92,88,COMPSCI7777,94,13,71,61,8,8
8027818,IN,4,COMPSCI3333,13,10,10,97,42,54,COMPSCI7777,26,56,73,93,23,46
2234588,ES,2,COMPSCI4444,98,48,81,33,78,67,COMPSCI5555,94,56,55,92,82,33
3632454,CS,2,COMPSCI4444,95,43,98,43,4,97,COMPSCI7777,6,1,86,74,97,72
1718043,ES,2,COMPSCI4444,80,100,49,34,96,63,COMPSCI7777,30,58,13,14,52,10
2626127,IN,3,COMPSCI1111,36,47,12,81,61,31,COMPSCI8888,19,62,55,69,41,28
5686561,ES,1,COMPSCI2222,83,49,10,99,94,58,COMPSCI6666,23,91,49,98,35,90
7428734,ES,1,COMPSCI1111,17,21,9,47,55,60,COMPSCI6666,50,86,95,64,30,95
2269970,SE,1,COMPSCI4444,9,69,86,98,79,10,COMPSCI8888,82,17,61,59,58,41
3062430,IN,1,COMPSCI4444,35,6,38,73,66,97,COMPSCI8888,36,20,95,58,42,33
2031534,IN,2,COMPSCI4444,58,90,53,62,1,66,COMPSCI7777,73,72,52,42,2,76
4633277,ES,4,COMPSCI4444,13,25,64,18,85,13,COMPSCI8888,12,14,93,46,29,34
5582115,ES,2,COMPSCI2222,99,14,20,15,53,21,COMPSCI8888,100,15,54,81,86,57
8240263,ES,1,COMPSCI2222,16,55,39,92,93,94,COMPSCI7777,61,56,88,13,70,2
3244916,IN,2,COMPSCI3333,41,62,86,28,55,52,COMPSCI7777,22,69,42,15,53,14
7098538,IN,1,COMPSCI3333,66,68,9,80,61,95,COMPSCI8888,25,52,7,78,62,18
9334882,IN,3,COMPSCI4444,79,40,70,57,24,69,COMPSCI7777,9,41,27,83,80,64
1271005,ES,1,COMPSCI4444,3,25,92,67,39,38,COMPSCI5555,13,51,97,77,1,66
5546563,ES,3,COMPSCI4444,15,5,82,19,83,4,COMPSCI8888,27,68,39,61,45,88
1476106,ES,1,COMPSCI1111,52,98,65,15,21,23,COMPSCI5555,77,23,52,75,25,12
8279009,CH,1,COMPSCI4444,64,58,74,64,64,89,COMPSCI6666,12,22,63,49,71,55
2440909,ES,4,COMPSCI2222,69,35,13,32,12,78,COMPSCI7777,13,60,74,71,32,88
4400556,CH,4,COMPSCI3333,56,49,28,30,52,94,COMPSCI8888,61,75,64,37,65,45
4808112,ES,1,COMPSCI4444,94,84,32,43,6,88,COMPSCI7777,32,42,78,98,79,94
9327587,IN,1,COMPSCI4444,72,35,40,80,72,54,COMPSCI8888,99,44,72,92,38,57
5027584,ES,4,COMPSCI2222,33,91,87,31,27,46,COMPSCI7777,42,97,5,16,69,86
4458866,ES,4,COMPSCI3333,14,96,1,41,94,29,COMPSCI7777,77,43,86,1,69,46
1416551,IN,2,COMPSCI1111,38,21,98,8,67,88,COMPSCI7777,89,89,61,84,36,23
6236959,ES,3,COMPSCI4444,69,34,35,17,4,98,COMPSCI8888,74,25,64,66,40,21
9490743,ES,3,COMPSCI3333,42,77,58,45,51,10,COMPSCI7777,63,51,91,89,49,1
7050131,IN,3,COMPSCI2222,49,74,10,13,22,31,COMPSCI7777,92,53,12,6,90,22
4195751,ES,3,COMPSCI3333,91,81,72,62,95,60,COMPSCI5555,75,51,83,35,40,88
4483228,CS,4,COMPSCI4444,56,9,13,41,55,4,COMPSCI6666,75,68,94,4,98,70
6149597,ES,4,COMPSCI4444,75,65,13,12,52,89,COMPSCI8888,37,35,89,74,23,67
1964837,ES,4,COMPSCI3333,76,46,66,39,36,60,COMPSCI8888,35,96,13,8,25,44
6036816,ES,4,COMPSCI4444,59,22,99,12,11,47,COMPSCI5555,77,13,15,82,83,58
6090166,ES,1,COMPSCI4444,81,92,41,40,3,77,COMPSCI8888,93,34,76,33,81,57
3274722,ES,3,COMPSCI4444,85,48,7,73,11,89,COMPSCI7777,31,19,43,94,77,52
8859262,CH,3,COMPSCI2222,46,89,2,87,87,48,COMPSCI8888,33,21,53,5,54,10
4550794,ES,4,COMPSCI4444,32,26,12,56,56,7,COMPSCI5555,64,86,86,62,96,98
6881306,IN,2,COMPSCI3333,46,32,68,57,84,7,COMPSCI5555,42,21,99,43,3,89
9067533,IN,4,COMPSCI1111,21,100,83,59,24,46,COMPSCI5555,11,13,71,50,22,31
1197535,SE,4,COMPSCI3333,30,27,39,6,96,81,COMPSCI8888,60,88,49,73,10,8
1658227,CH,4,COMPSCI1111,44,50,53,95,2,77,COMPSCI7777,66,89,53,66,38,60
9545135,ES,4,COMPSCI4444,48,19,4,10,66,15,COMPSCI5555,56,54,19,45,40,17
3732739,ES,4,COMPSCI4444,55,22,33,1,34,33,COMPSCI6666,68,57,33,75,95,96
8524099,ES,1,COMPSCI4444,8,78,77,83,94,89,COMPSCI8888,37,69,72,42,63,39
5241106,CS,1,COMPSCI1111,69,94,82,96,24,59,COMPSCI7777,34,96,31,47,25,55
5289428,ES,1,COMPSCI4444,31,56,29,23,81,6,COMPSCI8888,48,17,92,22,14,67
4842636,ES,2,COMPSCI4444,42,12,70,60,65,2,COMPSCI8888,70,89,46,27,29,66
6349815,ES,3,COMPSCI2222,27,56,58,38,98,77,COMPSCI7777,100,63,58,68,11,58
8107351,IN,1,COMPSCI4444,1,1,75,37,2,33,COMPSCI5555,17,2,4,55,61,56
9876676,IN,3,COMPSCI4444,12,67,87,49,71,34,COMPSCI8888,6,9,72,13,57,95
1746358,ES,1,COMPSCI4444,21,76,9,31,19,99,COMPSCI5555,10,48,28,70,21,36
1577936,IN,1,COMPSCI2222,55,84,6,26,28,13,COMPSCI5555,8,38,60,32,24,58
3638734,ES,3,COMPSCI4444,69,2,23,89,37,55,COMPSCI8888,30,84,8,65,61,53
9002242,ES,1,COMPSCI4444,71,44,66,4,9,51,COMPSCI6666,18,60,76,66,90,1
2566222,IN,1,COMPSCI4444,44,84,31,95,79,91,COMPSCI8888,34,42,61,42,39,22
4966913,ES,4,COMPSCI3333,89,10,12,79,28,88,COMPSCI6666,61,43,57,1,20,71
8938758,ES,4,COMPSCI4444,78,14,21,95,96,81,COMPSCI8888,50,47,99,45,77,39
7286449,CH,3,COMPSCI4444,49,9,34,32,20,32,COMPSCI8888,50,21,35,27,86,18
4123570,ES,1,COMPSCI1111,38,92,88,75,79,41,COMPSCI7777,43,59,94,43,55,98
8977357,IN,4,COMPSCI4444,33,48,90,27,25,17,COMPSCI7777,84,99,52,2,5,87
4424296,IN,2,COMPSCI1111,75,92,79,63,6,76,COMPSCI7777,86,4,6,67,72,13
5286703,IN,2,COMPSCI4444,85,15,12,6,90,25,COMPSCI7777,2,46,54,76,89,16
3645428,CH,1,COMPSCI2222,8,22,82,2,33,79,COMPSCI7777,10,66,60,11,44,70
8999593,IN,4,COMPSCI3333,70,37,69,13,83,36,COMPSCI8888,80,91,6,14,40,73
3555625,ES,3,COMPSCI3333,77,97,47,6,33,17,COMPSCI8888,94,100,42,16,20,92
5487638,IN,1,COMPSCI4444,39,56,74,6,47,35,COMPSCI7777,76,75,41,71,12,47
7606587,IN,3,COMPSCI4444,55,48,19,49,56,24,COMPSCI7777,8,69,9,10,7,99
3000527,IN,2,COMPSCI3333,5,87,13,7,89,63,COMPSCI5555,3,39,52,28,31,51
5657798,CH,1,COMPSCI4444,36,24,80,94,98,29,COMPSCI8888,22,92,96,10,31,39
5697249,CH,2,COMPSCI4444,4,40,52,3,58,71,COMPSCI5555,88,38,25,19,87,4
5466295,IN,2,COMPSCI4444,32,35,60,44,97,73,COMPSCI8888,9,23,75,21,84,63
8793975,ES,3,COMPSCI4444,87,2,39,43,26,35,COMPSCI5555,99,1,17,15,52,34
8454266,IN,1,COMPSCI2222,96,96,100,25,13,35,COMPSCI5555,9,78,23,51,74,89
8537330,ES,2,COMPSCI3333,4,5,51,30,93,69,COMPSCI8888,4,86,50,59,64,6
3063160,ES,2,COMPSCI1111,84,13,96,49,83,75,COMPSCI7777,89,60,90,49,48,56
3348381,CH,1,COMPSCI4444,8,36,23,16,17,8,COMPSCI7777,99,55,71,23,54,21
4983865,ES,4,COMPSCI3333,48,19,89,69,80,45,COMPSCI8888,36,37,37,73,66,25
3893550,ES,1,COMPSCI3333,84,23,23,89,61,84,COMPSCI7777,4,83,66,37,94,2
4658113,SE,3,COMPSCI4444,93,82,47,98,40,19,COMPSCI7777,61,67,18,69,6,63
7778909,ES,1,COMPSCI2222,28,67,78,88,53,71,COMPSCI8888,72,73,91,29,71,83
3900042,IN,1,COMPSCI3333,35,95,27,40,86,85,COMPSCI6666,13,98,44,16,52,60
7697221,ES,4,COMPSCI4444,31,27,19,62,84,59,COMPSCI8888,5,70,53,23,86,40
9285818,SE,4,COMPSCI4444,18,33,100,68,6,45,COMPSCI5555,97,56,96,27,83,46
3482898,CH,3,COMPSCI4444,58,64,54,47,3,16,COMPSCI8888,67,15,51,14,6,25
2458397,IN,4,COMPSCI2222,49,13,23,27,80,7,COMPSCI8888,50,24,9,58,49,28
6319597,IN,1,COMPSCI3333,80,98,74,57,75,16,COMPSCI6666,29,12,67,67,85,16
2021792,ES,4,COMPSCI4444,15,24,93,17,44,21,COMPSCI7777,28,23,41,72,27,30
2132698,ES,4,COMPSCI4444,86,97,11,96,79,83,COMPSCI6666,41,14,33,50,10,11
2513516,IN,1,COMPSCI1111,88,83,32,36,39,2,COMPSCI5555,77,2,11,50,7,89
5927480,SE,2,COMPSCI4444,60,50,24,23,5,27,COMPSCI8888,24,69,78,55,28,40
5236505,ES,2,COMPSCI4444,14,55,41,40,3,88,COMPSCI8888,30,40,34,12,64,48
5193053,IN,1,COMPSCI4444,91,4,78,89,57,1,COMPSCI6666,77,77,49,58,28,58
7408521,IN,3,COMPSCI3333,12,15,46,62,60,36,COMPSCI7777,82,7,34,10,82,22
3201355,IN,2,COMPSCI4444,29,8,55,12,38,32,COMPSCI8888,49,28,46,10,52,19
5666135,IN,2,COMPSCI3333,20,11,14,46,86,79,COMPSCI7777,29,43,70,96,19,50
1885450,IN,3,COMPSCI2222,26,22,89,99,19,78,COMPSCI8888,4,50,60,91,86,49
3123564,IN,3,COMPSCI1111,16,42,6,42,43,6,COMPSCI5555,13,63,47,49,90,71
2255238,ES,1,COMPSCI3333,44,23,24,69,82,1,COMPSCI5555,43,59,39,79,66,79
5506756,ES,1,COMPSCI3333,19,24,76,71,35,72,COMPSCI6666,12,94,18,62,54,25
2104297,ES,1,COMPSCI3333,51,36,58,62,14,5,COMPSCI6666,28,12,41,29,20,14
5362460,ES,2,COMPSCI1111,14,60,68,61,57,76,COMPSCI8888,39,29,67,98,80,12
4497500,ES,3,COMPSCI4444,14,39,92,68,64,69,COMPSCI8888,17,25,10,53,76,43
6344214,ES,2,COMPSCI4444,43,42,24,7,9,5,COMPSCI8888,55,88,99,85,83,95
6132089,ES,2,COMPSCI4444,18,35,99,59,60,24,COMPSCI7777,78,56,97,83,3,86
3285237,SE,3,COMPSCI4444,98,94,15,30,93,59,COMPSCI6666,44,45,9,47,85,76
4495670,ES,1,COMPSCI2222,4,31,89,53,54,14,COMPSCI8888,70,38,12,11,62,7
3326449,ES,1,COMPSCI4444,67,87,11,56,68,34,COMPSCI5555,69,4,11,28,40,100
3504260,ES,1,COMPSCI1111,2,87,71,29,77,2,COMPSCI6666,27,52,99,64,33,15
6062568,ES,2,COMPSCI3333,3,46,79,57,22,46,COMPSCI7777,79,29,44,59,64,24
4878672,ES,1,COMPSCI4444,45,44,77,93,83,54,COMPSCI8888,29,61,34,84,90,74
1230888,CS,1,COMPSCI2222,94,82,12,60,30,83,COMPSCI7777,85,79,54,5,42,74
6923866,IN,4,COMPSCI3333,88,26,6,7,21,36,COMPSCI6666,80,69,10,32,92,54
1349141,CS,4,COMPSCI4444,13,20,11,20,96,73,COMPSCI8888,10,60,75,23,100,100
7587209,ES,1,COMPSCI4444,81,1,33,85,61,92,COMPSCI8888,17,2,23,88,11,36
5088283,IN,3,COMPSCI4444,91,71,43,6,95,1,COMPSCI8888,48,45,31,96,29,29
1592598,CH,4,COMPSCI4444,48,26,9,53,40,23,COMPSCI8888,70,25,32,74,25,51
8341733,ES,2,COMPSCI4444,66,18,63,27,43,82,COMPSCI8888,5,2,6,34,92,21
